,日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
0,2021-05-13,'000001,上证指数,3429.5361,3448.0169,3418.3846,3432.138,3462.7513,-33.2152,-0.9592,319325327,356376917819.0
1,2021-05-12,'000001,上证指数,3462.7513,3466.3708,3428.3944,3429.7544,3441.8454,20.9059,0.6074,311444547,343860406433.0
2,2021-05-11,'000001,上证指数,3441.8454,3448.0959,3384.6966,3406.598,3427.9909,13.8545,0.4042,350934112,390326273820.0
3,2021-05-10,'000001,上证指数,3427.9909,3429.7359,3401.9346,3423.5896,3418.8741,9.1168,0.2667,374170884,399717549009.0
4,2021-05-07,'000001,上证指数,3418.8741,3457.8924,3416.7755,3446.407,3441.2826,-22.4085,-0.6512,353785389,411078841643.0
5,2021-05-06,'000001,上证指数,3441.2826,3471.2396,3426.8487,3446.0743,3446.8564,-5.5738,-0.1617,310424192,400525169566.0
6,2021-04-30,'000001,上证指数,3446.8564,3469.0872,3426.9023,3468.3022,3474.9011,-28.0447,-0.8071,312660354,401442334677.0
7,2021-04-29,'000001,上证指数,3474.9011,3478.2278,3447.5878,3458.0819,3457.0683,17.8328,0.5158,276631387,371611589911.0
8,2021-04-28,'000001,上证指数,3457.0683,3457.0683,3423.325,3432.1612,3442.6111,14.4572,0.4199,247381120,349669207298.0
9,2021-04-27,'000001,上证指数,3442.6111,3443.8538,3417.2647,3440.0911,3441.1658,1.4453,0.042,253032393,327046020018.0
10,2021-04-26,'000001,上证指数,3441.1658,3497.1208,3438.5724,3484.1072,3474.1659999999997,-33.0002,-0.9499,276970771,388161675554.0
11,2021-04-23,'000001,上证指数,3474.1659999999997,3482.3587,3456.3329,3462.0858,3465.1138,9.0522,0.2612,249360433,323015935280.0
12,2021-04-22,'000001,上证指数,3465.1138,3485.3585,3456.3156,3482.8328,3472.9298,-7.816,-0.2251,251114510,317081034873.0
13,2021-04-21,'000001,上证指数,3472.9298,3481.2511,3450.1113,3456.2991,3472.9427,-0.0129,-0.0004,253777859,323914146232.0
14,2021-04-20,'000001,上证指数,3472.9427,3494.2983,3463.4637,3467.1481,3477.5485,-4.6058,-0.1324,285300082,358982768198.0
15,2021-04-19,'000001,上证指数,3477.5485,3479.0099,3414.3564,3427.548,3426.6178,50.9307,1.4863,302735819,368472467524.0
16,2021-04-16,'000001,上证指数,3426.6178,3432.6286,3394.1344,3407.188,3398.9875,27.6303,0.8129,258579672,295951094705.0
17,2021-04-15,'000001,上证指数,3398.9875,3409.6139,3373.0939,3409.6139,3416.7212,-17.7337,-0.519,234005054,272569196767.0
18,2021-04-14,'000001,上证指数,3416.7212,3420.0278,3392.9751,3397.0209999999997,3396.47,20.2512,0.5962,233242327,269010070614.0
19,2021-04-13,'000001,上证指数,3396.47,3425.3945,3387.902,3411.2928,3412.9477,-16.4777,-0.4828,270626054,290539879926.0
20,2021-04-12,'000001,上证指数,3412.9477,3456.1581,3403.9012,3445.9696,3450.6772,-37.7295,-1.0934,309577239,338890339564.0
21,2021-04-09,'000001,上证指数,3450.6772,3475.4467,3442.1392,3475.4434,3482.5548,-31.8776,-0.9154,280085196,306422226254.0
22,2021-04-08,'000001,上证指数,3482.5548,3495.9086,3459.3246,3467.4871,3479.6256,2.9292,0.0842,331755329,348011326769.0
23,2021-04-07,'000001,上证指数,3479.6256,3483.4211,3453.1947,3483.4211,3482.9674,-3.3418,-0.0959,295786978,323650987028.0
24,2021-04-06,'000001,上证指数,3482.9674,3493.2806,3471.761,3491.6336,3484.3924,-1.425,-0.0409,234746671,286329672740.0
25,2021-04-02,'000001,上证指数,3484.3924,3487.5862,3462.8321,3472.6276,3466.3315,18.0609,0.521,262654873,317953200768.0
26,2021-04-01,'000001,上证指数,3466.3315,3470.0311,3438.8255,3444.8102,3441.9115,24.42,0.7095,275244295,292651912290.0
27,2021-03-31,'000001,上证指数,3441.9115,3452.2078,3420.8321,3452.2078,3456.6766,-14.7651,-0.4271,283049261,314174120172.0
28,2021-03-30,'000001,上证指数,3456.6766,3457.6345,3423.3154,3432.5288,3435.2958,21.3808,0.6224,285423081,331625651218.0
29,2021-03-29,'000001,上证指数,3435.2958,3449.8338,3409.8868,3429.6322,3418.3267,16.9691,0.4964,284824243,327944119662.0
30,2021-03-26,'000001,上证指数,3418.3267,3423.2231,3373.3171,3373.3171,3363.5915,54.7352,1.6273,274614987,322408619946.0
31,2021-03-25,'000001,上证指数,3363.5915,3382.2259999999997,3344.9695,3355.0706,3367.0606,-3.4691,-0.10300000000000001,270676097,290223442604.0
32,2021-03-24,'000001,上证指数,3367.0606,3415.2949,3362.1847,3394.1283,3411.5088,-44.4482,-1.3029,317398697,344800038246.0
33,2021-03-23,'000001,上证指数,3411.5088,3445.4159,3390.0477,3445.3408,3443.4392,-31.9304,-0.9273,326389409,343477167707.0
34,2021-03-22,'000001,上证指数,3443.4392,3443.6596,3404.2341,3406.1227,3404.6634,38.7758,1.1389,312559084,332535035841.0
35,2021-03-19,'000001,上证指数,3404.6634,3439.5236,3389.2929,3423.8733,3463.0681,-58.4047,-1.6865,309161716,339992292814.0
36,2021-03-18,'000001,上证指数,3463.0681,3478.1447,3449.3774,3449.6413,3445.5509,17.5172,0.5084,284403891,316529174116.0
37,2021-03-17,'000001,上证指数,3445.5509,3454.0562,3410.2815,3435.7319,3446.7334,-1.1825,-0.0343,280059818,306630472148.0
38,2021-03-16,'000001,上证指数,3446.7334,3448.8829,3406.1746,3424.6524,3419.9456,26.7878,0.7833,316668747,332388484730.0
39,2021-03-15,'000001,上证指数,3419.9456,3457.4892,3392.5089,3441.882,3453.0777,-33.1321,-0.9595,367813293,381646491324.0
40,2021-03-12,'000001,上证指数,3453.0777,3454.5064,3417.2389,3447.2033,3436.8313,16.2464,0.4727,358027035,381964281222.0
41,2021-03-11,'000001,上证指数,3436.8313,3436.8313,3369.9024,3369.9024,3357.7372,79.0941,2.3556,322112044,369805365528.0
42,2021-03-10,'000001,上证指数,3357.7372,3397.0251,3354.823,3389.8388,3359.292,-1.5548,-0.0463,299749166,339571691506.0
43,2021-03-09,'000001,上证指数,3359.292,3429.1503,3328.3119,3415.3391,3421.4141,-62.1221,-1.8157,407652539,456196190297.0
44,2021-03-08,'000001,上证指数,3421.4141,3542.3039,3421.2153,3524.9829999999997,3501.9867,-80.5726,-2.3008,387047954,453859203342.0
45,2021-03-05,'000001,上证指数,3501.9867,3523.5682,3456.6668,3463.3086,3503.4916,-1.5049,-0.043,356409223,408849901856.0
46,2021-03-04,'000001,上证指数,3503.4916,3552.2024,3487.3757,3546.6406,3576.9045,-73.4129,-2.0524,393616120,462233734231.0
47,2021-03-03,'000001,上证指数,3576.9045,3577.6218,3498.7192,3500.1576,3508.5912,68.3133,1.9469999999999998,347656846,415490345736.0
48,2021-03-02,'000001,上证指数,3508.5912,3566.8520000000003,3485.3635,3566.8520000000003,3551.3998,-42.8086,-1.2054,339830486,427680453058.0
49,2021-03-01,'000001,上证指数,3551.3998,3552.5665,3511.9888,3531.4802,3509.0804,42.3194,1.206,315487526,402477044217.0
50,2021-02-26,'000001,上证指数,3509.0804,3550.4055,3500.7036,3514.5648,3585.0458,-75.9654,-2.119,333280067,424485913919.0
51,2021-02-25,'000001,上证指数,3585.0458,3608.5568,3568.4735,3595.5424,3564.0799,20.9659,0.5883,366232299,444735017112.0
52,2021-02-24,'000001,上证指数,3564.0799,3645.6474,3531.5936,3638.9359,3636.3573,-72.2774,-1.9876,362158952,484430414620.0
53,2021-02-23,'000001,上证指数,3636.3573,3672.1511,3617.7013,3617.7013,3642.4449,-6.0876,-0.1671,398873174,479631810240.0
54,2021-02-22,'000001,上证指数,3642.4449,3717.2669,3642.4449,3707.1912,3696.1679999999997,-53.7231,-1.4535,488821478,599323102081.0
55,2021-02-19,'000001,上证指数,3696.1679999999997,3699.6502,3634.0149,3661.7834,3675.3571,20.8109,0.5662,361059804,484990205754.0
56,2021-02-18,'000001,上证指数,3675.3571,3731.687,3663.6637,3721.0865,3655.0879999999997,20.2691,0.5545,340309065,483546564601.0
57,2021-02-10,'000001,上证指数,3655.0879999999997,3662.7655,3612.5049,3612.6125,3603.489,51.599,1.4319,257940824,392643389630.0
58,2021-02-09,'000001,上证指数,3603.489,3604.0112,3528.6755,3539.7726,3532.4467,71.0423,2.0111,253821760,371567972461.0
59,2021-02-08,'000001,上证指数,3532.4467,3542.2075,3492.1286,3504.5631,3496.3329,36.1138,1.0329,249799619,359187319179.0
60,2021-02-05,'000001,上证指数,3496.3329,3536.5417,3492.9624,3509.4874,3501.8592,-5.5263,-0.1578,290146174,397391919558.0
61,2021-02-04,'000001,上证指数,3501.8592,3524.7219,3465.7706,3503.7785,3517.308,-15.4488,-0.4392,298834854,418742552802.0
62,2021-02-03,'000001,上证指数,3517.308,3544.0092,3508.5069,3531.1490000000003,3533.6849,-16.3769,-0.4635,297351716,413731471971.0
63,2021-02-02,'000001,上证指数,3533.6849,3535.502,3495.5681,3510.8084,3505.2836,28.4013,0.8102,264540630,384127851092.0
64,2021-02-01,'000001,上证指数,3505.2836,3506.3889,3469.875,3477.1715,3483.0692,22.2144,0.6378,277567901,371473066289.0
65,2021-01-29,'000001,上证指数,3483.0692,3531.5981,3446.5471,3521.7175,3505.1759,-22.1067,-0.6307,293662664,416528620977.0
66,2021-01-28,'000001,上证指数,3505.1759,3549.5440000000003,3496.8788,3534.6685,3573.3412,-68.1653,-1.9076,270862461,391574388027.0
67,2021-01-27,'000001,上证指数,3573.3412,3578.7968,3546.492,3567.5485,3569.429,3.9122,0.1096,264107161,396270389619.0
68,2021-01-26,'000001,上证指数,3569.429,3610.9686,3564.7415,3610.9686,3624.2381,-54.8091,-1.5123,278139884,436326664646.0
69,2021-01-25,'000001,上证指数,3624.2381,3637.1002,3591.0204,3605.3611,3606.7496,17.4885,0.4849,327341070,527257347653.0
70,2021-01-22,'000001,上证指数,3606.7496,3616.5401,3585.0339,3616.5401,3621.2641,-14.5145,-0.4008,324463084,485452192410.0
71,2021-01-21,'000001,上证指数,3621.2641,3636.2444,3585.8017,3590.9247,3583.092,38.1721,1.0653,327466995,469855226646.0
72,2021-01-20,'000001,上证指数,3583.092,3589.9624,3556.4425,3564.1209999999996,3566.3814,16.7106,0.4686,272271661,397144766184.0
73,2021-01-19,'000001,上证指数,3566.3814,3603.1477,3553.0236,3596.3564,3596.2237,-29.8423,-0.8298,323439541,467402582397.0
74,2021-01-18,'000001,上证指数,3596.2237,3608.7665,3544.2614,3554.7977,3566.3778,29.8459,0.8369,301652565,451740700450.0
75,2021-01-15,'000001,上证指数,3566.3778,3589.2655,3533.7882,3566.2847,3565.9046,0.4732,0.0133,324612744,480343780956.0
76,2021-01-14,'000001,上证指数,3565.9046,3599.0584,3559.6001,3584.9324,3598.6518,-32.7472,-0.91,347666819,511325103696.0
77,2021-01-13,'000001,上证指数,3598.6518,3622.3475,3575.5945,3613.281,3608.3389,-9.6871,-0.2685,388127791,554853439062.0
78,2021-01-12,'000001,上证指数,3608.3389,3608.3389,3517.4689,3518.0106,3531.4978,76.8411,2.1759,323406153,485771186331.0
79,2021-01-11,'000001,上证指数,3531.4978,3597.7022,3516.9862,3571.3212,3570.1082,-38.6104,-1.0815,362479154,526895927277.0
80,2021-01-08,'000001,上证指数,3570.1082,3588.0625,3544.8912,3577.6923,3576.2046,-6.0964,-0.1705,345557896,502170815614.0
81,2021-01-07,'000001,上证指数,3576.2046,3576.2046,3526.6174,3552.9087,3550.8767,25.3279,0.7133,405348226,545709628110.0
82,2021-01-06,'000001,上证指数,3550.8767,3556.8022,3513.1262,3530.9072,3528.6767,22.2,0.6291,370230926,521799529792.0
83,2021-01-05,'000001,上证指数,3528.6767,3528.6767,3484.7151,3492.1912,3502.9584,25.7183,0.7342,407995934,568019462188.0
84,2021-01-04,'000001,上证指数,3502.9584,3511.6554,3457.2061,3474.6793,3473.0693,29.8891,0.8606,380790800,523367700849.0
85,2020-12-31,'000001,上证指数,3473.0693,3474.9182,3419.7267,3419.7267,3414.4527,58.6166,1.7167,335673926,450482318884.0
86,2020-12-30,'000001,上证指数,3414.4527,3414.4539,3374.4156,3375.0086,3379.0362,35.4165,1.0481,291023543,377542350937.0
87,2020-12-29,'000001,上证指数,3379.0362,3407.0884,3376.0876,3399.2939,3397.2854,-18.2492,-0.5372,311769185,382102563807.0
88,2020-12-28,'000001,上证指数,3397.2854,3412.5193,3383.6540000000005,3396.3590000000004,3396.5626,0.7228,0.0213,316181542,398159968833.0
