"_id","title","desc","date","img","tags","nickname"
"209335","6月29日每日安全热点 - WastedLocker：针对美国组织的攻击浪潮","WastedLocker：针对美国组织的攻击浪潮；NVIDIA 发布了多个有关 GPU 驱动的安全修复更新；针对缅甸的定向攻击。","2020/6/29 09:30:44","https://p2.ssl.qhimg.com/t019d1ecf3507e37ca7.png","安全热点","360CERT热点播报"
"209360","CVE-2020-11996：Apache Tomcat HTTP/2 拒绝服务攻击漏洞通告","2020年06月29日， 360CERT监测发现 apache 官方 发布了 Tomcat http/2 拒绝服务攻击 的风险通告，该漏洞编号为 CVE-2020-11996，漏洞等级：中危。","2020/6/29 14:11:34","https://p1.ssl.qhimg.com/t01b723425d0de90e9e.jpg","漏洞预警","360CERT安全通告"
"209403","6月30日每日安全热点 - 疫情期间Windows RDP暴力攻击次数翻倍","研究人员透露，在COVID-19期间，每天对Windows RDP进行的暴力攻击次数已增加了一倍；ThinkPHP 6.x反序列化POP链（二）。","2020/6/30 09:45:13","https://p2.ssl.qhimg.com/t019d1ecf3507e37ca7.png","安全热点","360CERT热点播报"
"209405","国外软件工程师：TikTok涉及隐私泄露问题","Facebook爆出5000万用户信息数据被“剑桥分析”公司泄露，Instagram存在安全漏洞使得用户数据存在泄露的可能。国外一名高级软件工程师则认为TikTok 与这两个公司一样涉及隐私泄露问题。","2020/7/1 12:34:17","https://p3.ssl.qhimg.com/t01b0369d6f4d39a530.png","隐私泄露/TikTok","ppz"
"209440","Treck TCP/IP协议库多个漏洞安全风险通告","2020年06月29日，360CERT监测到Treck官方发布了Treck TCP/IPv4/IPv6 软件库的安全更新。","2020/6/30 11:30:04","https://p2.ssl.qhimg.com/t012d3e7b86ee00785d.png","漏洞预警","360CERT安全通告"
"209446","政治黑客行动：入侵Roblox账号用于支持特朗普选举","一场黑客活动正在开展，这群黑客瞄准的是Roblox账号。被成功入侵的账号被用于为特朗普在即将于11月举行的美国总统选举拉票。","2020/7/3 10:00:20","https://p1.ssl.qhimg.com/t01d654b0fb7f76db19.png","入侵/特朗普/黑客行动","ppz"
"209450","美国大通银行被黑客攻击，用户无端收到银行转账；REvil又勒索上詹姆斯了！","美国大通银行被黑客攻击，用户无端收到银行转账；黑客为支持特朗普连任，黑进小学生游戏账户给他们买应援装备；REvil又勒索上詹姆斯了！一线明星敏感信息起拍价60万美金","2020/6/30 15:56:21","https://p0.ssl.qhimg.com/t016da32a9fec0774a2.jpg","资讯/充电站","安全客"
"209495","7月1日每日安全热点 - Google下架25个窃取Facebook凭据Android应用","Google下架了25个窃取Facebook凭据的Android应用；ROADtools - 微软Azure AD渗透框架；Spray：一款功能强大的活动目录凭证密码喷射工具。","2020/7/1 09:45:03","https://p2.ssl.qhimg.com/t019d1ecf3507e37ca7.png","安全热点","360CERT热点播报"
"209569","CVE-2020-1457/1425：Microsoft Windows 编解码器库远程执行代码漏洞通告更新","2020年07月01日， 360CERT监测发现 Microsoft官方 发布了 Microsoft Windows 编解码器库远程执行代码漏洞 的风险通告，该漏洞编号为 CVE-2020-1457和CVE-2020-1425 ，漏洞等级：严重。","2020/7/8 14:00:59","https://p3.ssl.qhimg.com/t01f9a2effde3fbe180.png","漏洞预警","360CERT安全通告"
"209600","7月2日每日安全热点 - 游走在东欧和中亚的奇幻熊","游走在东欧和中亚的奇幻熊；59款中国APP印度遭禁后续：TikTok主动下架；美联邦通信委员会周二正式将华为和中兴通讯指定为国家安全威胁。","2020/7/2 09:45:34","https://p2.ssl.qhimg.com/t019d1ecf3507e37ca7.png","安全热点","360CERT热点播报"
"209659","腾讯状告老干妈反被骗，实则3人为游戏礼包码伪造印章","某开发人员公开发帖指责直接公布厂商漏洞行为；石黑一雄诺奖后的第一本书还没出版就被黑客盯上，想先一睹为快？","2020/7/2 16:53:25","https://p0.ssl.qhimg.com/t016da32a9fec0774a2.jpg","资讯","安全客"
