"title","date","brief","detail_href"
"绿盟科技威胁情报月报（2020.07.1-2020.07.31）","2020/8/4","7月，绿盟科技威胁情报中心（NTI）发布了多个漏洞和威胁事件通告，其中，Windows DNS服务器远程代码执行漏洞（CVE-2020-1350）影响较大。","/html/2020/39_0804/954.html"
"绿盟科技威胁情报周报（2020.07.27-2020.08.02）","2020/8/3","近期，研究人员在排查绿盟威胁捕获系统相关日志的过程中发现，攻击者开始使用新的漏洞（已在github上公开，并无CVE编号）感染TVT DVR设备，该漏洞具有较复杂的攻击流程","/html/2020/39_0803/953.html"
"【安全通告】Cisco SD-WAN高危漏洞 （CVE-2020-3374，CVE-2020-3375）","2020/7/31","近日，思科（Cisco）官方发布通告称修复了Cisco SD-WAN vManager Software（CVE-2020-3374）和SD-WAN Solution Software(CVE-2020-3375)的2个高危漏洞。","/html/2020/39_0731/952.html"
"【安全通告】WebSphere Application Server高危远程代码执行漏洞 CVE-2020-4450","2020/7/30","北京时间2020年6月5日，IBM官方发布通告修复了WebSphere Application Server（WAS）中的一个高危远程代码执行漏洞，漏洞描述为IIOP协议上的反序列化漏洞，分配编号CVE-2020-4450，漏洞评分为9 8分，漏洞危害较高，影响面较大。","/html/2020/39_0730/951.html"
"绿盟科技威胁情报周报（2020.07.20-2020.07.26）","2020/7/28","近期绿盟格物实验室检测到新的钓鱼攻击活动，攻击者向移动终端用户发送手机短信，提醒用户ETC设备异常，诱导用户点开短信中的链接，并要求填写提交个人敏感信息、银行卡号密码等。","/html/2020/39_0728/950.html"
"【安全通告】Adobe 发布更新修复多个高危漏洞","2020/7/22","当地时间7月21日，Adobe官方发布了 新的安全更新，修复了Adobe 多款产品中的多个高危代码执行漏洞","/html/2020/39_0722/949.html"
"【安全通告】TP-Link Tapo C200 IP摄像头高危漏洞","2020/7/22","综述近日，TP-Link修复了一个存在于C200 IP 摄像头中的一个高危漏洞。使用已知的Heartbleed漏洞（位于公开的TCP 443端口），可以在内存转储中发现用户的哈希密码。然后使用API 上的登录过程将哈希用于哈希传递攻击。这导致名为stok的登录令牌被发出，该令牌可用于设备的用户身份验证。攻击者随后可以执行多种需认证后才被允许的操作，例如：移动相机的镜头，格式化SD卡，创建一个RTSP帐户以查看相机的视频源，并禁用隐私","/html/2020/39_0722/948.html"
"绿盟科技威胁情报周报（2020.07.13-2020.07.19）","2020/7/20","2020年7月15日，微软发布7月安全更新补丁，其中修复了一个WindowsDNS服务器远程代码执行漏洞（CVE-2020-1350），代号为SigRed，此漏洞已存在17年之久，CVSS评分为10。","/html/2020/39_0720/947.html"
"【安全通告】注意防范新型Nginx 后门","2020/7/17","综述北京时间7月16日，友商发布文章表示于近日捕获到一款新型 nginx后门，其免杀效果非常好，截至文章发布之时 VT 上的全部杀软都未能检测。","/html/2020/39_0717/945.html"
"Microsoft Windows DNS服务器远程代码执行漏洞SigRed（CVE-2020-1350） 防护方案","2020/7/16","当地时间7月14日，微软最新的月度补丁更新中修复了一枚存在于Windows DNS 服务器中的可蠕虫化漏洞CVE-2020-1350（代号 SigRed）。这意味着攻击者利用该漏洞能够在没有任何用户交互的情况下，在易受攻击的机器间传播，从而有可能感染整个组织的网络。","/html/2020/39_0716/944.html"
