"attack_type","vuln_sfv","vuln_name","vuln_type_name","vuln_activity_level","vuln_level","vuln_activity_average","vuln_discover_date"
"5e0e95e928e29c3b92a6b6b4","SF_0000_00076","挖矿","挖矿","2","102","292","0000/0/0"
"5e0e95e928e29c3b92a6b6b3","SF_0000_00075","勒索","勒索","2","102","84","0000/0/0"
"5e0e95e928e29c3b92a6b6b2","SF_0000_00074","测评","测评","0","101","0","0000/0/0"
"5e0e95e928e29c3b92a6b6b1","SF_0000_00073","脚本工具","脚本工具","2","101","850","0000/0/0"
"5e0e95e928e29c3b92a6b6b0","SF_0000_00072","利用工具","利用工具","3","102","368195","0000/0/0"
"5e0e95e928e29c3b92a6b6af","SF_0000_00071","扫描工具","扫描工具","3","100","7536046","0000/0/0"
"5e0e95e928e29c3b92a6b6ae","SF_0000_00070","版本过低","版本过低","0","101","0","0000/0/0"
"5e0e95e928e29c3b92a6b6ad","SF_0000_00069","故障注入","故障注入","0","101","0","0000/0/0"
"5e0e95e928e29c3b92a6b6ac","SF_0000_00068","信息发现","信息发现","3","100","599766","0000/0/0"
"5e0e95e928e29c3b92a6b6ab","SF_0000_00067","信息泄露","信息泄露","3","101","2059678","0000/0/0"
"5e0e95e928e29c3b92a6b6aa","SF_0000_00066","配置不当","配置不当","0","101","0","0000/0/0"
"5e0e95e928e29c3b92a6b6a9","SF_0000_00065","点击劫持","点击劫持","2","101","16","0000/0/0"
"5e0e95e928e29c3b92a6b6a8","SF_0000_00064","中间人攻击","中间人攻击","0","101","0","0000/0/0"
"5e0e95e928e29c3b92a6b6a7","SF_0000_00063","DNS重定向","DNS重定向","3","101","7903","0000/0/0"
"5e0e95e928e29c3b92a6b6a6","SF_0000_00062","DNS域传送","DNS域传送","3","101","3144","0000/0/0"
"5e0e95e928e29c3b92a6b6a5","SF_0000_00061","DNS缓存中毒","DNS缓存中毒","3","101","2012","0000/0/0"
"5e0e95e928e29c3b92a6b6a4","SF_0000_00060","拒绝服务","拒绝服务","0","101","0","0000/0/0"
"5e0e95e928e29c3b92a6b6a3","SF_0000_00059","暴力破解","暴力破解","1","101","5","0000/0/0"
"5e0e95e928e29c3b92a6b6a2","SF_0000_00058","解析漏洞","解析漏洞","0","101","1","0000/0/0"
"5e0e95e928e29c3b92a6b6a1","SF_0000_00057","目录浏览漏洞","目录浏览漏洞","3","102","44453","0000/0/0"
