"category","category_content","title","abstract","row_key","source","edit_time","icon"
"B007_C0004","漏洞预警","Windows SMB远程代码执行漏洞 CVE-2020-1301","CVE-2020-1301，Windows SMB远程代码执行漏洞。成功利用该漏洞的攻击者可以实现在目标主机上执行任意代码。","MzBiNDBhM2MtZDA3Mi0xMWVhLWE5YjctZmVmY2ZlMzMwNGM0","深信服安全中心","2020/7/28 09:49:46","http://secimg.sangfor.com.cn/FotEOlDI8qe1oyvYjy1-XCa03IjV"
"B007_C0004","漏洞预警","Windows SMB远程代码执行漏洞 CVE-2020-1301","CVE-2020-1301，Windows SMB远程代码执行漏洞。成功利用该漏洞的攻击者可以实现在目标主机上执行任意代码。","MzBiNDBhM2MtZDA3Mi0xMWVhLWE5YjctZmVmY2ZlMzMwNGM0","深信服安全中心","2020/7/28 09:32:25","http://secimg.sangfor.com.cn/FotEOlDI8qe1oyvYjy1-XCa03IjV"
"B007_C0004","漏洞预警","Weblogic远程代码执行漏洞CVE-2020-14645","Oracle七月份发布的官方补丁通告中共发布了443个安全补丁，其中包括Weblogic组件的高危漏洞，CVE-2020-14645。 漏洞危害性较高，建议受影响的客户尽快更新官方发布的安全补丁。","OTM5YzIzNTAtY2EyOC0xMWVhLWEzNmUtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/7/20 09:30:21","http://secimg.sangfor.com.cn/FjAS3XjETFkDciQoICrH-SpT5d46"
"B007_C0004","漏洞预警","微软7月份补丁日重点漏洞","2020年7月14日（北京时间），微软发布2020年7月份安全更新，共发布了123个CVE的补丁程序，涵盖了DNS、RDP Client、Internet Explorer（IE）、Office、Microsoft Edge等众多组件和软件。","YzMwNWJmNmUtYzY0Mi0xMWVhLTk5ZGEtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/7/15 10:27:43","http://secimg.sangfor.com.cn/FkxcOoGNI24S3SRAri_vwKNkW-sb"
"B007_C0004","漏洞预警","F5 BIG-IP TMUI远程代码执行漏洞公告更新","F5 BIG-IP的流量管理用户界面（TMUI）被发现存在远程代码执行漏洞。","MDdjYTQwODgtYzYzNS0xMWVhLTkzZTMtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/7/15 08:49:25","http://secimg.sangfor.com.cn/FlqwCcy1xAQpQ3Umq1KW9ixG5kvT"
"B007_C0004","漏洞预警","Apache Dubbo反序列化远程代码执行漏洞 CVE-2020-1948","Apache Dubbo Provider 存在反序列化漏洞，攻击者可以通过RPC请求发送无法识别的服务名称或方法名称，并附带一些含有恶意参数的构造数据。当恶意参数被反序列化时，将会造成远程代码执行。","YTk2ZTlmNTgtYjlhOS0xMWVhLTljYmUtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/6/29 09:41:33","http://secimg.sangfor.com.cn/FtzGhko5_x8eAqkzBufnnWozIo66"
"B007_C0004","漏洞预警","微软6月份补丁日重点漏洞","2020年6月10日（北京时间），微软发布2020年6月份安全更新，共发布了129个漏洞的补丁程序，涵盖了Microsoft Windows、Internet Explorer（IE）、Office、Microsoft Edge、Windows Defender等众多组件和软件。128个CVE中共有11个被微软官方标记为Critical，118个被标记为“Importent”。","ZTQzZjBmZTItYjlhOC0xMWVhLWEzMWEtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/6/29 09:36:02","http://secimg.sangfor.com.cn/FkxcOoGNI24S3SRAri_vwKNkW-sb"
"B007_C0007","挖矿木马","DDG最新变种v5028，警惕沦为挖矿“肉鸡”","近期，深信服安全团队捕获到DDG挖矿木马最新变种v5028，较之前的变种v5023，新版本的DDG挖矿木马更新了C&C地址及挖矿地址，同时已弃用传统的i.sh驻留方式。","MWU5OGU3MDgtYjQ2ZC0xMWVhLThmYTUtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/6/22 17:45:34","http://secimg.sangfor.com.cn/FmZRsxRGL4xXUgSCqBn_zBEH5Mlu"
"B007_C0004","漏洞预警","Apache Tomcat Session持久化功能反序列化远程代码执行漏洞CVE-2020-9484","2020年5月20日，Apache Tomcat官方发布安全公告，披露了一个通过Apache Tomcat Session持久化功能导致远程代码执行的漏洞。当Tomcat服务器使用了Session持久化功能时，不安全的配置会导致反序列化漏洞，攻击者通过精心构造的数据包， 可以对使用了Session持久化功能的Tomcat服务器进行攻击。","NmM5MDQ0MTYtYWY3Ni0xMWVhLWJjZDMtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/6/16 10:09:35","http://secimg.sangfor.com.cn/FmuN4etcWkHdEH2sxHoTtZZ583Aw"
"B007_C0002","勒索软件","合法软件沦为勒索工具，深信服EDR提供防御方案","近日，深信服安全团队发现一款合法的磁盘加密软件BestCrypt Volume Encryption被黑客利用作为勒索工具。","MmE4MDk5MWEtYWJiNC0xMWVhLWJlYTAtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/6/11 15:21:28","http://secimg.sangfor.com.cn/FkAGTf--hVpm2ZJ0amf3BI8GoE3c"
"B007_C0004","漏洞预警","Apache Kylin 远程代码执行漏洞CVE-2020-1956","2020年5月28日，Apache Kylin官方发布安全公告，披露了一个Apache Kylin远程代码执行漏洞。Kylin有一些restful API，可以将os命令与用户输入字符串连接起来，攻击者可以在Kylin没有任何保护或验证的情况下执行任何os命令。","OGIyZGExNDQtYTk2Yy0xMWVhLTk0M2ItZmVmY2ZlMzMwNGM0","深信服安全中心","2020/6/8 17:43:44","http://secimg.sangfor.com.cn/Fu7SC3TdVKOme6K7GzN8uWpPgOl9"
"B007_C0004","漏洞预警","Apache Tomcat 反序列化远程代码执行漏洞","2020年5月20日，Apache Tomcat官方发布安全公告，披露了一个通过集群同步Session导致远程代码执行的漏洞。当tomcat服务器使用了自带session同步功能时，不安全的配置（没有使用EncryptInterceptor）导致存在反序列化漏洞，通过精心构造的数据包， 可以对使用了tomcat自带session同步功能的服务器进行攻击。","OGFkM2MwOWMtYTQ3Mi0xMWVhLWE5MDAtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/6/2 09:44:05","http://secimg.sangfor.com.cn/FmpLCgpSc3qJo-wuC2tM3qdOe_uc"
"B007_C0003","工具","使用yarGen提取Linux恶意脚本特征","本文将介绍如何借助yargen实现对Linux恶意脚本特征的半自动化提取。","YThhYWI1M2EtYTNlNi0xMWVhLWE4NmYtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/6/1 17:02:45","http://secimg.sangfor.com.cn/FuInHF8dntmo18uRea7dUKTQ7Kl-"
"B007_C0002","勒索软件","GlobeImposter勒索病毒新变种C4H东山再起","本文将对GlobeImposter勒索病毒家族的新变种C4H进行详细的分析。","ZTYyYTY0NjYtOThlYS0xMWVhLWE0YmMtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/5/18 17:35:23","http://secimg.sangfor.com.cn/FvIk2A8GXXec5mubFR6b6gVfDHLR"
"B007_C0007","挖矿木马","汉化远控木马下发挖矿程序，利用肉鸡资源捞金","本文将对伪装为Windows系统帮助文件的远控木马进行详细分析介绍。","MjRiMjdjM2MtOTVkZi0xMWVhLWI3NzAtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/5/14 20:33:41","http://secimg.sangfor.com.cn/Fn2EX3irHUdRbHkxCTezLz0XeUn4"
"B007_C0004","漏洞预警","微软5月份补丁日重点漏洞","2020年5月13日，微软发布2020年5月份安全更新，共发布了111个漏洞的补丁程序，涵盖了Microsoft Windows、Internet Explorer（IE）、Office、SahrePoint、Win32k等众多组件和软件。111个CVE中共有16个被微软官方标记为Critical。","ZWRkYTM2MzgtOTRiYi0xMWVhLWE3MGMtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/5/13 09:49:05","http://secimg.sangfor.com.cn/FkxcOoGNI24S3SRAri_vwKNkW-sb"
"B007_C0004","漏洞预警","Jenkins五月份漏洞安全公告","Jenkins五月份发布的漏洞安全通告中公布了9个漏洞，其中包含1个高危、6个中危、2个低危。分别为CVE-2020-2181、CVE-2020-2182、CVE-2020-2183、CVE-2020-2184、CVE-2020-2185、CVE-2020-2186、CVE-2020-2187、CVE-2020-2188、CVE-2020-2189（高危）。建议受影响的客户尽快更新官方发布的最新版本插件。","MDYyYTgyYzgtOTQzMS0xMWVhLWFhMjktZmVmY2ZlMzMwNGM0","深信服安全中心","2020/5/12 17:14:46","http://secimg.sangfor.com.cn/FgRemwG6Ks-I7oUrj_od4qATUZYy"
"B007_C0004","漏洞预警","GitLab任意文件读取漏洞公告","2020年4月28日，GitLab的一个任意文件读取漏洞的漏洞细节被公开。该漏洞补丁于2020年3月26号由GitLab官方发布。深信服安全研究团队依据漏洞重要性和影响力进行评估，作出漏洞通告。","MzZjZTdjYTItOTQyZS0xMWVhLWE3MGMtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/5/12 16:54:39","http://secimg.sangfor.com.cn/Fuvdv-XCwVrX4ekH7B9kNbhTP7Le"
"B007_C0004","漏洞预警","SaltStack 远程命令执行漏洞 （CVE-2020-11651/CVE-2020-11652）","近日，SaltStack发布了3000.2和2019.2.4版本，修复了这些漏洞（其中有一个CVSS等级为10.0的漏洞）。国外安全团队在披露SaltStack管理框架的多个安全漏洞时（CVE-2020-11651/CVE-2020-11652）认为恶意攻击者仅仅使用这类平台的salt/minion关系就能导致在数百个服务器上挖掘加密货币，或者安装后门，导致数据被盗或勒索。","ZGNiZjU3ODItOTQyYy0xMWVhLWI5Y2UtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/5/12 16:44:59","http://secimg.sangfor.com.cn/FkxcOoGNI24S3SRAri_vwKNkW-sb"
"B007_C0004","漏洞预警","OpenSSL拒绝服务漏洞公告","2020年4月21日，OpenSSL官方正式发布了一个TLS1.3组件拒绝服务漏洞的风险公告。该漏洞补丁于2020年4月10号由kaduk提交，并于4月21号合并到最新版本。深信服安全研究团队依据漏洞重要性和影响力进行评估，作出漏洞通告。","NjI1NDUzYTAtOTQyNS0xMWVhLWI3YzAtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/5/12 15:51:27","http://secimg.sangfor.com.cn/FoiwW8olFtWmWosW73SfNWQJ0o-F"
"B007_C0004","漏洞预警","通达OA 任意用户登录漏洞","2020年4月17日，通达OA官方发布了最新的通达OA 11.5.200417版本，该版本修复了若干安全问题。深信服安全团队根据最新的补丁进行分析，发现通达 OA < 11.5.200417存在一个认证绕过漏洞，利用该漏洞可以实现任意用户登录。攻击者可以通过构造恶意攻击代码，成功登录系统管理员账户，继而在系统后台上传恶意文件控制网站服务器。","ZTQ3ODk4ZTItOTQyNC0xMWVhLWI0MzgtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/5/12 15:47:56","http://secimg.sangfor.com.cn/Fqmr84L8g5j8POxjYHururLz87Ha"
"B007_C0007","挖矿木马","RainbowMiner，一个求生欲极强的挖矿病毒家族","本文将会对Linux下的挖矿病毒家族RainbowMiner进行解析。","NTJjZWE2N2MtOGFhZS0xMWVhLThhMDEtZmVmY2ZlMzMwNGM0","深信服安全中心","2020/4/30 14:46:30","http://secimg.sangfor.com.cn/Filhy2oVAG-9ZI_JwrW3w1Hq_Uhx"
