ssv_id,time,level,name,status,evaluate
SSV-93151,2017-05-26,高危,"Apple macOS - Local Privilege Escalation Vulnerability(CVE-2017-6978)","CVE-2017-6978   No PoC   No VM   Have Detail   No Chart","316 | 0"
SSV-93152,2017-05-27,中危,"Mozilla Firefox: Memory disclosure in ConvolvePixel(CVE-2017-5465)","CVE-2017-5465   Have PoC   No VM   Have Detail   No Chart","379 | 0"
SSV-93154,2017-05-27,中危,"Mozilla Firefox: out-of-bounds read in gfxTextRun(CVE-2017-5447)","CVE-2017-5447   Have PoC   No VM   Have Detail   No Chart","485 | 1"
SSV-93155,2017-05-27,中危,"Apple iOS / MacOS Netagent Kernel Memory Disclosure(CVE-2017-2507)","CVE-2017-2507   No PoC   No VM   Have Detail   No Chart","251 | 0"
SSV-93156,2017-05-27,中危,"Apple iOS / MacOS Domain Socket Kernel Use-After-Free(CVE-2017-2501)","CVE-2017-2501   No PoC   No VM   Have Detail   No Chart","265 | 0"
SSV-93157,2017-05-27,中危,"Apple iOS / MacOS NSKeyedArchiver Heap Corruption(CVE-2017-2524)","CVE-2017-2524   No PoC   No VM   Have Detail   No Chart","281 | 0"
SSV-93158,2017-05-27,中危,"Apple iOS / OS X NSKeyedArchiver Memory Corruption(CVE-2017-2527)","CVE-2017-2527   No PoC   No VM   Have Detail   No Chart","280 | 0"
SSV-93159,2017-05-27,中危,"Apple MacOS NSUnarchiver Heap Corruption(CVE-2017-2523)","CVE-2017-2523   No PoC   No VM   Have Detail   No Chart","242 | 0"
SSV-93160,2017-05-27,低危,"Google Android Broadcom Wi-fi Driver  Information Disclosure Vulnerability(CVE-2017-0633)","CVE-2017-0633   No PoC   No VM   Have Detail   No Chart","307 | 0"
SSV-93161,2017-05-27,低危,"Apple macOS - 'stackshot' Raw Frame Pointers(CVE-2017-2516)","CVE-2017-2516   No PoC   No VM   Have Detail   No Chart","237 | 0"
SSV-93162,2017-05-27,中危,"Apple MacOS 32-Bit Syscall Exit Kernel Register Leak(CVE-2017-2509)","CVE-2017-2509   No PoC   No VM   Have Detail   No Chart","303 | 0"
SSV-93163,2017-05-27,低危,"Linux: eBPF verifier log leaks lower half of map pointer","无 CVE   No PoC   No VM   Have Detail   No Chart","333 | 0"
SSV-93164,2017-05-27,中危," OpenVPN Access Server : CRLF injection with Session fixation(CVE-2017-5868)","CVE-2017-5868   No PoC   No VM   Have Detail   No Chart","736 | 0"
SSV-93165,2017-05-31,中危,"CVE-2017-1000367 in Sudo's get_process_ttyname() for Linux","CVE-2017-1000367   Have PoC   No VM   Have Detail   No Chart","1058 | 0"
SSV-93166,2017-05-31,高危,"ourphp 后台任意文件删除","无 CVE   No PoC   No VM   Have Detail   No Chart","601 | 0"
SSV-93167,2017-05-31,中危,"PHPMyWind v5.4 后台任意文件删除","无 CVE   No PoC   No VM   Have Detail   No Chart","1442 | 1"
SSV-93168,2017-06-01,高危,"TerraMaster NAS TOS <= 3.0.30 Unauthenticated RCE as Root","无 CVE   Have PoC   No VM   Have Detail   No Chart","583 | 0"
SSV-93169,2017-06-01,高危,"国微CMS政府网站系统 留言板 SQL注入","无 CVE   No PoC   No VM   Have Detail   No Chart","446 | 0"
SSV-93170,2017-06-01,高危,"国微cms 会员验证 SQL注入","无 CVE   No PoC   No VM   Have Detail   No Chart","521 | 0"
SSV-93171,2017-06-01,高危,"国微CMS政府网站系统 公众咨询模块 SQL注入","无 CVE   No PoC   No VM   Have Detail   No Chart","884 | 0"
SSV-93172,2017-06-01,中危,"XYCMS hf_book.php页面参数id注入漏洞","无 CVE   No PoC   No VM   Have Detail   No Chart","371 | 0"
SSV-93173,2017-06-01,中危,"xycms edit_book.php页面id参数存在SQL注入漏洞","无 CVE   No PoC   No VM   Have Detail   No Chart","608 | 1"
SSV-93174,2017-06-01,中危,思高CMS存在多处SQL注入漏洞,"无 CVE   Have PoC   No VM   Have Detail   No Chart","1116 | 0"
SSV-93175,2017-06-02,中危,"HP JetDirect 未授权访问","无 CVE   Have PoC   No VM   Have Detail   No Chart","1827 | 1"
SSV-93176,2017-06-02,中危,乐邦CMS系统存在通用性SQL注入漏洞,"无 CVE   No PoC   No VM   Have Detail   No Chart","638 | 0"
SSV-93177,2017-06-05,中危,"Exploiting an integer overflow with array spreading (WebKit)","CVE-2017-2536   No PoC   No VM   Have Detail   No Chart","363 | 0"
SSV-93179,2017-06-06,中危,"WebKit  Unspecified Memory Corruption Vulnerability(CVE-2017-2521)","CVE-2017-2521   Have PoC   No VM   Have Detail   No Chart","429 | 0"
SSV-93180,2017-06-06,中危,"WebKit JSC emitPutDerivedConstructorToArrowFunctionContextScope Incorrect Check(CVE-2017-2531)","CVE-2017-2531   Have PoC   No VM   Have Detail   No Chart","407 | 0"
SSV-93182,2017-06-06,中危,"WebKit: UXSS: CachedFrame doesn't detach openers(CVE-2017-2528)","CVE-2017-2528   Have PoC   No VM   Have Detail   No Chart","494 | 0"
SSV-93183,2017-06-06,中危,"WebKit: UXSS via CachedFrameBase::restore","无 CVE   Have PoC   No VM   Have Detail   No Chart","412 | 0"
