ssv_id,time,level,name,status,evaluate
SSV-97122,2018-02-02,中危,"PHP CVE-2018-5711 - Hanging Websites by a Harmful GIF","CVE-2018-5711   Have PoC   No VM   Have Detail   No Chart","1177 | 0"
SSV-97125,2018-02-05,高危,"OpenNMS Java Object Deserialization RCE","无 CVE   Have PoC   No VM   No Detail   No Chart","1306 | 0"
SSV-97126,2018-02-06,高危,"HPE Integrated Lights-Out 4 Remote Code Execution Vulnerability(CVE-2017-12542)","CVE-2017-12542   Have PoC   No VM   Have Detail   No Chart","1363 | 0"
SSV-97129,2018-02-07,中危,"WordPress Core - 'load-scripts.php' Denial of Service(CVE-2018-6389)","CVE-2018-6389   Have PoC   No VM   Have Detail   No Chart","2486 | 0"
SSV-97132,2018-02-23,高危,"TrendNet AUTHORIZED_GROUP Information Disclosure","无 CVE   Have PoC   No VM   Have Detail   No Chart","471 | 0"
SSV-97133,2018-02-23,高危,"CloudMe Unauthenticated Remote Buffer Overflow(CVE-2018-6892)","CVE-2018-6892   Have PoC   No VM   Have Detail   No Chart","533 | 0"
SSV-97134,2018-02-23,高危,"Multiple IoT Vendors – Multiple Vulnerabilities","无 CVE   Have PoC   No VM   Have Detail   No Chart","586 | 0"
SSV-97136,2018-02-23,高危,"Adobe Flash Player  Use After Free Remote Code Execution Vulnerability(CVE-2018-4878)","CVE-2018-4878   Have PoC   No VM   Have Detail   No Chart","849 | 0"
SSV-97139,2018-02-24,中危,"Windows Kernel stack memory disclosure in nt!RtlpCopyLegacyContextX86(CVE-2018-0832)","CVE-2018-0832   Have PoC   No VM   Have Detail   No Chart","491 | 0"
SSV-97146,2018-02-24,中危,"IE11: Use-after-free in Js::RegexHelper::RegexReplace(CVE-2018-0866)","CVE-2018-0866   Have PoC   No VM   Have Detail   No Chart","808 | 0"
SSV-97147,2018-02-24,中危,"IE11: Use-after-free in String.localeCompare","无 CVE   Have PoC   No VM   Have Detail   No Chart","771 | 0"
SSV-97148,2018-02-24,中危,"IE11: Use-after-free in String.lastIndexOf(CVE-2018-0866)","CVE-2018-0866   Have PoC   No VM   Have Detail   No Chart","1160 | 0"
SSV-97156,2018-03-01,中危,"Microsoft Edge: Chakra: JIT: CallRegExSymbolFunction doesn't check the return type","无 CVE   Have PoC   No VM   Have Detail   No Chart","984 | 0"
SSV-97157,2018-03-01,高危,"Chrome: V8: Integer overflow with PropertyArray	","无 CVE   Have PoC   No VM   Have Detail   No Chart","1180 | 0"
SSV-97158,2018-03-01,中危,"Chrome: V8: TranslatedState::MaterializeCapturedObjectAt caching bug	","无 CVE   Have PoC   No VM   Have Detail   No Chart","1237 | 0"
SSV-97159,2018-03-06,中危,"AVTECH {DVR/NVR/IPC} Authenticated RCE","无 CVE   Have PoC   No VM   No Detail   No Chart","1312 | 0"
SSV-97160,2018-03-07,高危,"Spring data rest 远程代码执行(cve-2017-8046)","CVE-2017-8046   Have PoC   No VM   Have Detail   No Chart","3020 | 0"
SSV-97161,2018-03-07,高危,"Tenda AC15 Router - Unauthenticated Remote Code Execution(CVE-2018-5767)","CVE-2018-5767   Have PoC   No VM   Have Detail   No Chart","1731 | 0"
SSV-97168,2018-03-13,高危,"MikroTik RouterOS < 6.38.4 (x86) - 'Chimay Red' Stack Clash Remote Code Execution","无 CVE   Have PoC   No VM   No Detail   No Chart","1516 | 0"
SSV-97171,2018-03-13,高危,"FineCMS  v5.2.0 SQL注入","无 CVE   Have PoC   No VM   Have Detail   No Chart","3443 | 1"
SSV-97173,2018-03-15,中危,"Chrome: V8: JIT: Simplified-lowererer IrOpcode::kStoreField, IrOpcode::kStoreElement optimization bug","无 CVE   Have PoC   No VM   Have Detail   No Chart","1231 | 0"
SSV-97174,2018-03-15,中危,"Chrome: V8: JIT: JSBuiltinReducer::ReduceObjectCreate fails to ensure that the prototype is "null"","无 CVE   Have PoC   No VM   Have Detail   No Chart","1247 | 0"
SSV-97175,2018-03-15,中危,"Chrome: V8: JIT: Type confusion in GetSpecializationContext","无 CVE   Have PoC   No VM   Have Detail   No Chart","1281 | 0"
SSV-97176,2018-03-15,中危,"Chrome: V8: Empty BytecodeJumpTable may lead to OOB read	","无 CVE   Have PoC   No VM   Have Detail   No Chart","1356 | 0"
SSV-97181,2018-03-15,高危,"AppWeb Authentication Bypass (Digest, Basic and Forms)(CVE-2018-8715)","CVE-2018-8715   Have PoC   No VM   Have Detail   No Chart","2080 | 0"
SSV-97182,2018-03-16,高危,"MikroTik RouterOS SMB Buffer Overflow(CVE-2018-7445)","CVE-2018-7445   Have PoC   No VM   Have Detail   No Chart","2415 | 0"
SSV-97183,2018-03-16,高危,Ubuntu本地提权漏洞(CVE-2017-16995),"CVE-2017-16995   Have PoC   No VM   Have Detail   No Chart","3760 | 1"
SSV-97196,2018-03-23,中危,"Windows Kernel 64-bit pool memory disclosure in NtQueryVirtualMemory(MemoryMappedFilenameInformation)(CVE-2018-0894)","CVE-2018-0894   Have PoC   No VM   Have Detail   No Chart","1414 | 0"
SSV-97197,2018-03-23,中危,"Windows Kernel 64-bit stack memory disclosure in NtQueryInformationThread(ThreadBasicInformation)(CVE-2018-0895)","CVE-2018-0895   Have PoC   No VM   Have Detail   No Chart","1577 | 0"
SSV-97206,2018-03-29,高危,"Cisco Smart Install Remote Code Execution(CVE-2018-0171)","CVE-2018-0171   Have PoC   No VM   Have Detail   No Chart","5889 | 1"
SSV-97207,2018-03-30,高危,"Drupal core Remote Code Execution(CVE-2018-7600)","CVE-2018-7600   Have PoC   No VM   Have Detail   No Chart","3429 | 0"
SSV-97209,2018-04-03,高危,"DLink DIR-601 - Admin Password Disclosure(CVE-2018-5708)","CVE-2018-5708   Have PoC   No VM   Have Detail   No Chart","1717 | 0"
SSV-97212,2018-04-04,高危,"D-Link DSL-3782 Code execution(CVE-2018-8941)","CVE-2018-8941   Have PoC   No VM   Have Detail   No Chart","2113 | 0"
SSV-97217,2018-04-11,高危,"Shenzhen TVT Digital Technology Co. Ltd & OEM {DVR/NVR/IPC} API RCE","无 CVE   Have PoC   No VM   Have Detail   No Chart","1863 | 0"
SSV-97226,2018-04-16,中危,"Moxa EDR-810 Web Server Cross-Site Request Forgery Vulnerability(CVE-2017-12126)","CVE-2017-12126   Have PoC   No VM   Have Detail   No Chart","1288 | 0"
SSV-97228,2018-04-16,中危,"Moxa EDR-810 Web Server URI Denial of Service Vulnerability(CVE-2017-12124)","CVE-2017-12124   Have PoC   No VM   Have Detail   No Chart","1265 | 0"
SSV-97229,2018-04-16,中危,"Moxa EDR-810 Service Agent Multiple Denial of Service Vulnerabilities(CVE-2017-14438 - CVE-2017-14439)","CVE-2017-14438,CVE-2017-14439   Have PoC   No VM   Have Detail   No Chart","1319 | 0"
SSV-97230,2018-04-16,中危,"Moxa EDR-810 Server Agent Information Disclosure Vulnerability(CVE-2017-12128)","CVE-2017-12128   Have PoC   No VM   Have Detail   No Chart","1400 | 0"
SSV-97236,2018-04-18,高危,Weblogic反序列化远程代码执行漏洞(CVE-2018-2628),"CVE-2018-2628   Have PoC   No VM   Have Detail   No Chart","6444 | 14"
SSV-97238,2018-04-19,高危,"CVE-2018-1273: RCE with Spring Data Commons","CVE-2018-1273   Have PoC   No VM   No Detail   No Chart","3159 | 0"
SSV-97244,2018-04-25,高危,"TerraMaster TOS Unauthenticated Remote Command Execution","无 CVE   Have PoC   No VM   Have Detail   No Chart","1507 | 0"
SSV-97245,2018-04-25,中危,"NETSCRAPED EXPLOIT TOOL","无 CVE   Have PoC   No VM   Have Detail   No Chart","1583 | 1"
SSV-97258,2018-05-02,高危,"Critical RCE Vulnerability Found in Over a Million GPON Home Routers","CVE-2018-10561,CVE-2018-10562   Have PoC   No VM   Have Detail   No Chart","2020 | 1"
SSV-97259,2018-05-02,高危,"Multiple Vulnerabilities in NagiosXI","CVE-2018-8733,CVE-2018-8734,CVE-2018-8735,CVE-2018-8736   Have PoC   No VM   Have Detail   No Chart","1558 | 0"
SSV-97260,2018-05-02,高危,"TBK DVR Login Bypass(CVE-2018-9995)","CVE-2018-9995   Have PoC   No VM   Have Detail   No Chart","2438 | 0"
SSV-97262,2018-05-02,中危,"GitList 0.6 Remote Code Execution","无 CVE   Have PoC   No VM   Have Detail   No Chart","1498 | 0"
SSV-97269,2018-05-04,中危,"Exim < 4.90.1 - base64d Remote Code Execution（CVE-2018-6789）","无 CVE   Have PoC   No VM   Have Detail   No Chart","1879 | 0"
SSV-97271,2018-05-04,高危,"BrilliantTS FUZE card (MCU firmware 0.1.73, BLE firmware 0.7.4)Vulnerability","CVE-2018-9119   Have PoC   No VM   Have Detail   No Chart","1739 | 0"
SSV-97273,2018-05-08,高危,"Authentication Bypass allows alarm's commands execution in iSmartAlarm(CVE-2017-7728)","CVE-2017-7728   Have PoC   No VM   Have Detail   No Chart","1472 | 0"
SSV-97277,2018-05-08,高危,"Western Digital My Cloud vulnerable to multiple command injection vulnerabilities","无 CVE   Have PoC   No VM   Have Detail   No Chart","1486 | 0"
SSV-97283,2018-05-10,高危,"Seagate Personal Cloud Multiple Vulnerabilities(CVE-2018-5347)","CVE-2018-5347   Have PoC   No VM   Have Detail   No Chart","1506 | 0"
